symbol,date,close,daily_return,rolling_20d_return,rolling_20d_volatility
AAPL,2018-01-02,43.064998626708984,,,
AAPL,2018-01-03,43.057498931884766,-0.00017414826572337283,,
AAPL,2018-01-04,43.25749969482422,0.004644969352628925,,
AAPL,2018-01-05,43.75,0.01138531604115589,,
AAPL,2018-01-08,43.587501525878906,-0.0037142508370535676,,
AAPL,2018-01-09,43.58250045776367,-0.0001147362877008673,,
AAPL,2018-01-10,43.5724983215332,-0.00022949890725432187,,
AAPL,2018-01-11,43.81999969482422,0.00568021992828216,,
AAPL,2018-01-12,44.272499084472656,0.01032632115015475,,
AAPL,2018-01-16,44.04750061035156,-0.0050821272522202365,,
AAPL,2018-01-17,44.775001525878906,0.01651628141089967,,
AAPL,2018-01-18,44.814998626708984,0.0008932908870358247,,
AAPL,2018-01-19,44.6150016784668,-0.0044627235160282774,,
AAPL,2018-01-22,44.25,-0.008181142322873924,,
AAPL,2018-01-23,44.2599983215332,0.0002259507691120266,,
AAPL,2018-01-24,43.55500030517578,-0.015928559491481753,,
AAPL,2018-01-25,42.77750015258789,-0.017850996375621597,,
AAPL,2018-01-26,42.877498626708984,0.002337641838920046,,
AAPL,2018-01-29,41.9900016784668,-0.020698431034159137,,
AAPL,2018-01-30,41.74250030517578,-0.005894293007802864,,
AAPL,2018-01-31,41.85749816894531,0.0027549347290840576,-0.0013782990595323286,0.009461576749445711
AAPL,2018-02-01,41.94499969482422,0.0020904623951898404,-0.001265068526486668,0.009490253063429262
AAPL,2018-02-02,40.125,-0.043390146812870234,-0.003666824334761626,0.013249544609056836
AAPL,2018-02-05,39.122501373291016,-0.024984389450691147,-0.005485309609353978,0.013566972460814999
AAPL,2018-02-06,40.75749969482422,0.04179176341340529,-0.0032100088968310347,0.017207154587667674
AAPL,2018-02-07,39.8849983215332,-0.021407136841659957,-0.004274628924528989,0.017658341770992052
AAPL,2018-02-08,38.787498474121094,-0.027516607586757447,-0.005638984358504145,0.018369197369791247
AAPL,2018-02-09,39.102500915527344,0.008121236320935088,-0.005516933538871499,0.018456267210562455
AAPL,2018-02-12,40.6775016784668,0.04027877312353767,-0.004019310940202353,0.020867278273352628
AAPL,2018-02-13,41.084999084472656,0.0100177589377759,-0.0032643166307025464,0.02109868064260214
AAPL,2018-02-14,41.842498779296875,0.0184373788902068,-0.0031682617567371897,0.021197615520239833
AAPL,2018-02-15,43.247501373291016,0.03357836254964108,-0.0015340081736069267,0.022731663129109292
AAPL,2018-02-16,43.10749816894531,-0.003237255330366118,-0.0014727347643238187,0.022725003911061213
AAPL,2018-02-20,42.962501525878906,-0.003363606083056414,-0.0012318579523329432,0.022675633203018068
AAPL,2018-02-21,42.76750183105469,-0.0045388347488741765,-0.0014700972282322533,0.022684539381669082
AAPL,2018-02-22,43.125,0.008359108052594433,-0.00025571385102844403,0.02251928976386532
AAPL,2018-02-23,43.875,0.017391304347825987,0.0015064011851439352,0.022448739402054826
AAPL,2018-02-26,44.74250030517578,0.019772086727653182,0.002378123429580592,0.022818181148939378
AAPL,2018-02-27,44.59749984741211,-0.0032407768178949192,0.0032510061403938028,0.022214889053476152
AAPL,2018-02-28,44.529998779296875,-0.0015135617096515563,0.003470042705301368,0.022141446830796982
AAPL,2018-03-01,43.75,-0.01751625422589309,0.0024564832575525108,0.02263439035934313
AAPL,2018-03-02,44.0525016784668,0.006914324079241085,0.002697676341755073,0.02265597609471989
AAPL,2018-03-05,44.20500183105469,0.003461781891547666,0.005040272776975968,0.01989354967700636
AAPL,2018-03-06,44.16749954223633,-0.0008483720679774986,0.006247073646111651,0.018670806773294704
AAPL,2018-03-07,43.75749969482422,-0.009282840361384603,0.0036933434573721557,0.01696855293684224
AAPL,2018-03-08,44.23500061035156,0.010912436013427618,0.005309322100126535,0.01596139657728833
AAPL,2018-03-09,44.994998931884766,0.01718092711759467,0.0075441988353441404,0.014149683460662825
AAPL,2018-03-12,45.43000030517578,0.009667771610563536,0.007621525599825563,0.014157226719211416
AAPL,2018-03-13,44.99250030517578,-0.009630200243475606,0.005126076931474899,0.012385677736431327
AAPL,2018-03-14,44.61000061035156,-0.008501410062339176,0.004200118481469145,0.012689255949977907
AAPL,2018-03-15,44.662498474121094,0.0011768182705953478,0.0033370904504885722,0.012249321199862552
AAPL,2018-03-16,44.505001068115234,-0.0035263904032847293,0.0014818528028422817,0.010038363842256396
AAPL,2018-03-19,43.82500076293945,-0.015279188604782501,0.0008797561391214626,0.010677123463414212
AAPL,2018-03-20,43.810001373291016,-0.0003422564606346823,0.001030823620242549,0.010635217335703029
AAPL,2018-03-21,42.817501068115234,-0.02265465131395461,0.00012503279198852746,0.011837986572657474
AAPL,2018-03-22,42.212501525878906,-0.014129725629570933,-0.0009994088921197407,0.012080282664945012
AAPL,2018-03-23,41.23500061035156,-0.023156668763827604,-0.00302680754770242,0.012232937163786348
AAPL,2018-03-26,43.192501068115234,0.04747181832882674,-0.0016418209676437423,0.015952574714000713
